iteration,cost,selected operator,applied changes,improved cost
446,7.478050921342724,TWOOPT,True,False
447,7.450833098085192,TWOOPT,True,True
448,7.847183702695135,TWOOPT,True,False
449,7.863582788133183,TWOOPT,True,False
450,8.519713696064727,RELOCATE,True,False
451,8.389823291171124,TWOOPT,True,True
452,8.760392804635977,RELOCATE,True,False
453,8.512292348440806,TWOOPT,True,True
454,8.414610946730674,TWOOPT,True,True
455,8.574423862045657,RELOCATE,True,False
456,7.912173199153364,TWOOPT,True,True
457,7.804934660675967,TWOOPT,True,True
458,7.284491212772677,TWOOPT,True,True
459,8.163229514170654,RELOCATE,True,False
460,8.359898664108952,TWOOPT,True,False
461,8.417135506570673,RELOCATE,True,False
462,8.558859814566551,TWOOPT,True,False
463,9.38552073163294,TWOOPT,True,False
464,8.353229532408406,TWOOPT,True,True
465,8.263358491122629,TWOOPT,True,True
466,8.15458538788565,TWOOPT,True,True
467,7.927661761184171,TWOOPT,True,True
468,8.032630887432667,TWOOPT,True,False
469,8.017085788876901,TWOOPT,True,True
470,8.252837457405215,TWOOPT,True,False
471,9.066618850199678,TWOOPT,True,False
472,8.326604687869862,TWOOPT,True,True
473,8.237268863259967,TWOOPT,True,True
474,8.220743019412838,TWOOPT,True,True
475,8.07582554787085,TWOOPT,True,True
476,8.546111479546338,RELOCATE,True,False
477,8.837467681251434,RELOCATE,True,False
478,8.38300598591913,RELOCATE,True,True
479,8.298983012810188,TWOOPT,True,True
480,8.979912982097645,RELOCATE,True,False
481,8.739358461924263,TWOOPT,True,True
482,8.659550734498051,TWOOPT,True,True
483,8.713116535663385,RELOCATE,True,False
484,7.786313824527849,TWOOPT,True,True
485,7.744618777418759,TWOOPT,True,True
486,7.737584118053729,TWOOPT,True,True
487,8.361511198653272,TWOOPT,True,False
488,8.08764399515861,TWOOPT,True,True
489,8.144002465873221,RELOCATE,True,False
490,8.875292632957457,TWOOPT,True,False
491,9.192765151907821,RELOCATE,True,False
492,8.48400693786412,TWOOPT,True,True
493,8.502612160984764,TWOOPT,True,False
494,9.261034163170086,TWOOPT,True,False
495,8.603531990694984,TWOOPT,True,True
496,8.87973776147415,TWOOPT,True,False
497,9.041241039193856,TWOOPT,True,False
498,9.038873110798033,TWOOPT,True,True
499,8.44215505109187,TWOOPT,True,True
500,8.681722916978819,TWOOPT,True,False
501,8.606826717563045,TWOOPT,True,True
502,9.2461792057709,TWOOPT,True,False
503,8.68228790171933,TWOOPT,True,True
504,8.109911458901502,TWOOPT,True,True
505,8.31963194869002,TWOOPT,True,False
506,8.178415525471872,TWOOPT,True,True
507,7.839123095552332,TWOOPT,True,True
508,7.8553501950887155,TWOOPT,True,False
509,8.536180964077712,TWOOPT,True,False
510,8.381489079179888,RELOCATE,True,True
511,8.411795478434513,TWOOPT,True,False
512,8.95145122710069,TWOOPT,True,False
513,8.335340878566411,TWOOPT,True,True
514,8.337874997032227,TWOOPT,True,False
515,8.360624827634755,TWOOPT,True,False
516,8.148601807510644,TWOOPT,True,True
517,8.506376301797635,TWOOPT,True,False
518,9.085149895956178,TWOOPT,True,False
519,8.193921067922222,TWOOPT,True,True
520,8.261918612775652,TWOOPT,True,False
521,7.982947160295659,RELOCATE,True,True
522,7.8641921544301905,TWOOPT,True,True
523,7.893497862934736,TWOOPT,True,False
524,8.310492604975714,TWOOPT,True,False
525,8.300077017403481,TWOOPT,True,True
526,8.110440193667936,TWOOPT,True,True
527,7.6934151384492235,TWOOPT,True,True
528,7.793659066529251,TWOOPT,True,False
529,7.821083708765441,TWOOPT,True,False
530,8.043487564322255,TWOOPT,True,False
531,8.033606565564565,TWOOPT,True,True
532,8.07699270915985,TWOOPT,True,False
533,7.716143623640311,TWOOPT,True,True
534,7.4217270855044015,TWOOPT,True,True
535,6.920357614857415,TWOOPT,True,True
536,7.142541938004085,TWOOPT,True,False
537,7.541556938089677,TWOOPT,True,False
538,7.359050493651587,TWOOPT,True,True
539,7.362520461529494,TWOOPT,True,False
540,7.637064710668898,RELOCATE,True,False
541,7.595833024609826,TWOOPT,True,True
542,7.468874392542129,TWOOPT,True,True
543,6.905489623735422,TWOOPT,True,True
544,7.847266680151311,TWOOPT,True,False
545,7.772296592916749,TWOOPT,True,True
546,7.711643290213653,TWOOPT,True,True
547,7.772296592916749,TWOOPT,True,False
548,7.259358944400903,TWOOPT,True,True
549,7.16141304180932,TWOOPT,True,True
550,6.617761293989172,RELOCATE,True,True
551,6.692524608521447,TWOOPT,True,False
552,7.339126831439116,TWOOPT,True,False
553,7.241613161032045,TWOOPT,True,True
554,7.4420582514861735,TWOOPT,True,False
555,7.9692508831036974,TWOOPT,True,False
556,8.101077450609719,RELOCATE,True,False
557,7.948842644957596,TWOOPT,True,True
558,7.947585461168204,TWOOPT,True,True
559,7.9769996395627,RELOCATE,True,False
560,8.153370064628888,TWOOPT,True,False
561,7.811080966716691,TWOOPT,True,True
562,8.184377548494286,TWOOPT,True,False
563,8.432783757999852,TWOOPT,True,False
564,8.807122371377297,TWOOPT,True,False
565,8.792898283116665,TWOOPT,True,True
566,9.168130794566459,TWOOPT,True,False
567,9.144666700448202,TWOOPT,True,True
568,9.744354263107533,TWOOPT,True,False
569,9.657646571313832,RELOCATE,True,True
570,8.686704968968696,RELOCATE,True,True
571,8.693050222724652,TWOOPT,True,False
572,8.46304988055087,RELOCATE,True,True
573,9.125474423774417,TWOOPT,True,False
574,8.24425895198198,RELOCATE,True,True
575,8.218610646490026,TWOOPT,True,True
576,9.22657231680493,TWOOPT,True,False
577,8.235210187760355,TWOOPT,True,True
578,7.852835072040232,TWOOPT,True,True
579,8.141040283499482,TWOOPT,True,False
580,8.90984140725455,RELOCATE,True,False
581,7.7704037883523664,RELOCATE,True,True
582,7.947520210230095,RELOCATE,True,False
583,8.439359238502902,TWOOPT,True,False
584,8.500471428477683,TWOOPT,True,False
585,7.985802269827225,RELOCATE,True,True
586,7.90726475502497,TWOOPT,True,True
587,8.062320403705453,TWOOPT,True,False
588,8.05630087656301,TWOOPT,True,True
589,8.570778199466952,TWOOPT,True,False
590,8.334004168608796,TWOOPT,True,True
591,8.336062271186451,TWOOPT,True,False
592,8.756039529924374,TWOOPT,True,False
593,8.293241015513527,TWOOPT,True,True
594,8.698622467558012,TWOOPT,True,False
595,8.798768821238582,TWOOPT,True,False
596,7.896947017074149,TWOOPT,True,True
597,8.788928277059329,TWOOPT,True,False
598,8.849769102207416,TWOOPT,True,False
599,7.5674945040951656,TWOOPT,True,True
600,7.896192935428885,RELOCATE,True,False
601,8.194000134063698,TWOOPT,True,False
602,8.29669565402963,TWOOPT,True,False
603,8.008739176424656,TWOOPT,True,True
604,8.03171864433421,TWOOPT,True,False
605,8.621459410153554,TWOOPT,True,False
606,8.646268176847435,TWOOPT,True,False
607,8.773183629837437,TWOOPT,True,False
608,9.113279759189068,RELOCATE,True,False
609,8.391266051267493,TWOOPT,True,True
610,7.717965884214967,TWOOPT,True,True
611,7.966815400490926,TWOOPT,True,False
612,8.428551146786273,RELOCATE,True,False
613,8.29041879521994,TWOOPT,True,True
614,8.272040080569564,TWOOPT,True,True
615,8.203377903973418,TWOOPT,True,True
616,8.29831431525628,RELOCATE,True,False
617,8.162261079566136,RELOCATE,True,True
618,7.896129943097794,TWOOPT,True,True
619,8.791796157389516,TWOOPT,True,False
620,8.79038857258158,TWOOPT,True,True
621,8.714531073943691,TWOOPT,True,True
622,8.713998256716069,TWOOPT,True,True
623,9.280212079842606,TWOOPT,True,False
624,8.248446093702139,TWOOPT,True,True
625,8.248446093702139,TWOOPT,False,False
626,8.6069900861245,TWOOPT,True,False
627,8.542813725484326,TWOOPT,True,True
628,8.632432401340374,TWOOPT,True,False
629,8.40576268630987,TWOOPT,True,True
630,8.365724183105087,TWOOPT,True,True
631,8.500681591681733,TWOOPT,True,False
632,8.504306272724769,TWOOPT,True,False
633,8.579281038998232,TWOOPT,True,False
634,8.079226628508067,RELOCATE,True,True
635,7.858297785678303,TWOOPT,True,True
636,7.803753570402543,RELOCATE,True,True
637,7.979423523615672,TWOOPT,True,False
638,7.935894035964524,TWOOPT,True,True
639,8.217918436893465,TWOOPT,True,False
640,7.924060051710784,TWOOPT,True,True
641,8.074112327482553,TWOOPT,True,False
642,7.966275102647943,RELOCATE,True,True
643,7.892421449082709,RELOCATE,True,True
644,8.011878579306122,TWOOPT,True,False
645,8.250328420497913,RELOCATE,True,False
646,8.243047690966238,RELOCATE,True,True
647,8.180156027005491,TWOOPT,True,True
648,8.323322507771202,TWOOPT,True,False
649,8.372329482328867,TWOOPT,True,False
650,8.34551127064183,TWOOPT,True,True
651,8.075530564135937,TWOOPT,True,True
652,8.77816871592281,RELOCATE,True,False
653,8.367435184895962,TWOOPT,True,True
654,8.971038220282633,TWOOPT,True,False
655,8.373922302815988,TWOOPT,True,True
656,8.854293898119389,TWOOPT,True,False
657,10.166246739941158,RELOCATE,True,False
658,8.754450750424255,TWOOPT,True,True
