file,initial,TWOOPT weight,RELOCATE weight,GLOBAL_RELOCATE weight,GLOBAL_EXCHANGE weight,iterations,target costfunction,cost (final solution),costs per MURMEL (final solution),cost (initial solution),costs per MURMEL (initial solution),costfunction 2 (no target),cost 2 (best solution),Tmin,Tmax,runtime (s),two opts,two opts with improvement,relocates,relocates with improvement,global relocates,global relocates with improvement,global exchanges,global exchanges with improvement
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2834.36270375,"[370.94545062500003, 594.1554506250001, 1578.4718025]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2866.3157407407402,0.1,200.0,13.78,2088,1061,1186,543,707,326,6814,3362
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2680.2927037500003,"[791.3590843750001, 556.76574625, 672.017873125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1436.9721450617285,0.1,200.0,13.52,1799,901,1150,550,680,317,7134,3601
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2576.5827037500003,"[881.6375631250002, 805.4702956250001, 168.304845]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1601.0929783950614,0.1,200.0,13.39,1902,951,1208,601,673,303,7193,3675
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2614.28270375,"[934.6775631250001, 316.545450625, 686.97969]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1697.3892746913577,0.1,200.0,13.16,1966,986,1185,562,638,329,7008,3496
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2713.84270375,"[1068.295140625, 475.15726750000005, 578.010295625]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1939.9179783950615,0.1,200.0,13.46,1883,962,1197,581,690,338,7312,3650
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2583.80270375,"[379.27787312500004, 348.16726750000004, 1288.277563125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2339.364583333333,0.1,200.0,13.39,1942,922,1201,616,698,314,7379,3726
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2679.63270375,"[1253.4263518750001, 347.315450625, 706.0209012500001]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2276.052700617284,0.1,200.0,13.58,1804,913,1095,512,711,317,6792,3423
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2596.0927037500005,"[422.455450625, 1094.98816875, 471.419084375]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1988.4504629629628,0.1,200.0,13.47,1891,966,1237,612,687,329,6962,3487
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2730.99270375,"[400.86969, 1026.985140625, 712.647873125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1864.9179783950615,0.1,200.0,13.41,1747,883,1154,591,667,316,6698,3312
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2757.2727037500003,"[187.854845, 1024.0927181250001, 1101.445140625]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2000.1031635802467,0.1,200.0,13.24,1813,874,1088,530,693,360,7233,3716
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2676.28270375,"[573.927873125, 744.1002956250001, 1047.214535]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1901.6179012345679,0.1,200.0,13.53,1811,902,1035,510,739,349,7019,3541
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2791.5527037499996,"[618.3002956250001, 1635.419985625, 49.132422500000004]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,2969.675385802469,0.1,200.0,13.4,1878,975,1055,515,661,307,7416,3661
berlin52.tsp,NEARESTNEIGHBOR_MA,1.0,1.0,1.0,4.0,100000,ENERGY_CONSUMPTION,2552.3127037500003,"[270.64787312500005, 932.1269575, 684.257873125]",3889.8127037500003,"[226.79150687500004, 757.7015068750001, 854.93969]",TIME,1692.7311728395061,0.1,200.0,13.55,1891,965,1229,620,672,339,7160,3565
